"riactivityId","affiliationName","countryName","riactivityType"
"docdbRS1135U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-99630","MINISTARSTVO NAUKE","Montenegro","FP7"
"docdbRS20120334A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090240A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080581A","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2009023147A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060288A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-202668","University of Belgrade","Serbia","H2020"
"CORDIS-95527","INTERNATIONAL ASSOCIATION FOR THE EXCHANGE OF STUDENTS FOR TECHNICAL EXPERIENCE - MACEDONINA BOARD INTERNATIONAL EXCHANGE OF STUDENTS IAESTE","Macedonia","FP7"
"EACEA-513508","Arheološki institut Beograd","Serbia","Culture"
"EUREKA-Network_Projects-2488","Innovation Center for Faculty of Mechanical Engineering in Belgrade","Serbia","Eureka"
"CORDIS-86227","Ministry of Economy (Macedonia, FYR of)","Macedonia","FP7"
"CORDIS-108910","INSTITUT ZA HIDROTEHNIKU GRADJEVINSKOG FAKULTETA U SARAJEVU","Bosnia and Herzegovina","FP7"
"docdbWO2015160272A1","NOVELIC D O O ","Serbia","Patent"
"docdbUS2015211478A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080273A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080127A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS968U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080012A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060111A","Institute for Chemistry, Technology and Metallurgy (U Belgrade)","Serbia","Patent"
"CORDIS-105967","PRODUCTION TRADE AND SERVICE COMPANY ARTHAUS DOO IMPORT-EXPORT SKOPJE","Macedonia","FP7"
"docdbRS20050872A","ALTAMED ","Serbia","Patent"
"docdbRS20090533A","Individual applicant (Serbia)","Serbia","Patent"
"docdbCL2013000164A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbPT2334409E","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2010112688A1","ARJO WIGGINS FINE PAPERS LTD ","Bosnia and Herzegovina","Patent"
"docdbRS20060148A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1386U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090044A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20120168A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1134U","Individual applicant (Serbia)","Serbia","Patent"
"docdbEP2857187A1","AL PACK D O O ","Serbia","Patent"
"docdbWO2009084972A1","Individual applicant (Serbia)","Serbia","Patent"
"EACEA-522589","NGO GENERATOR","Serbia","Culture"
"docdbRS20100579A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20130405A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-99341","COMPANY FOR DESIGN TRAFFIC AND SERVICES VAJOMAG EXPORT-IMPORT DOO SKOPJE","Macedonia","FP7"
"docdbRS1206U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1197U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS874U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-204275","PRIVREDNA KOMORA CRNE GORE PODGORICA","Montenegro","H2020"
"docdbRS20110160A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-86416","Federal Institute for Hydrometeorology BiH","Bosnia and Herzegovina","FP7"
"docdbRS1273U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-105089","University of Belgrade","Serbia","FP7"
"docdbRS20110290A2","RT-RK Computer Based Systems LLC","Serbia","Patent"
"docdbWO2013015700A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbBRPI0607528A2","HAHN MEITNER INST BERLIN GMBH ","Albania","Patent"
"docdbRS1027U","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2008077372A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1036U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20110309A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS943U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20130151A1","University of Belgrade","Serbia","Patent"
"docdbRS868U","Individual applicant (Serbia)","Serbia","Patent"
"docdbGB2512567A","Individual applicant (Serbia)","Serbia","Patent"
"EACEA-538010","NGO Foundation Kotor Festival of Theatre for Children","Montenegro","Culture"
"docdbDE102013106469A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-95208","Independent University Banja Luka","Bosnia and Herzegovina","FP7"
"docdbRS1231U","KLIMA M D O O ","Serbia","Patent"
"572967-CREA-1-2016-1-RS-MED-MARKETACC","MEGUNARODNI FESTIVAL DOKUMENTARNOG FILMA BELDOCS","Serbia","Creative Europe"
"docdbRS1400U1","Individual applicant (Serbia)","Serbia","Patent"
"docdbUS2010206489A1","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbRS20120178A1","Individual applicant (Serbia)","Serbia","Patent"
